"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_attr","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","ref_author","ref_pubyr","reference_no","phylum","class","order","family","genus","plant_organ","plant_organ2","abund_value","abund_unit","lng","lat","occurrence_comments","collection_name","collection_subset","collection_aka","cc","state","county","latlng_basis","latlng_precision","geogscale","geogcomments","paleomodel","paleolng","paleolat","geoplate","cc","protected","formation","stratgroup","member","stratscale","zone","localsection","localbed","localbedunit","localorder","regionalsection","regionalbed","regionalbedunit","regionalorder","stratcomments","lithdescript","lithology1","lithadj1","lithification1","minor_lithology1","fossilsfrom1","lithology2","lithadj2","lithification2","minor_lithology2","fossilsfrom2","environment","tectonic_setting","geology_comments","assembl_comps","articulated_parts","associated_parts","common_body_parts","rare_body_parts","feed_pred_traces","artifacts","component_comments","pres_mode","preservation_quality","spatial_resolution","temporal_resolution","lagerstatten","concentration","orientation","abund_in_sediment","sorting","fragmentation","bioerosion","encrustation","preservation_comments","collection_type","collection_methods","museum","collection_coverage","collection_size","rock_censused","collectors","collection_dates","collection_comments","taxonomy_comments","taxon_environment","environment_basis","motility","life_habit","vision","diet","reproduction","ontogeny","ecospace_comments","composition","architecture","thickness","reinforcement","genus","formation","stratgroup","member","time_bins","time_contain","time_major","time_buffer","time_overlap","primary_reference","created","modified"
"147936","occ","","","13061","n. gen. Atopotarus n. sp. courseni","species","53071","","Atopotarus courseni","","species","53071","Late Hemingfordian","Early Barstovian","20.43","13.6","Downs","1956","4342","Chordata","Mammalia","Carnivora","Desmatophocidae","Atopotarus","","","","","-118.339996","33.772999","","Coursen garden","","LACM 1098","US","California","Los Angeles","","3","small collection","Garden walk of Mr. and Mrs. Walter H. Coursen, Jr., 3 Meadowlark Lane, Rolling Hills, CA. directly west of hill 443 and north & degrees west of hill 918 (see Woodring, et al., 1946, geol. map).","gp_mid","","","coordinates not computable using this model","US","","Monterey","","Altamira","member","","","","","","","","","","","hard, siliceous limestone with parallel layers of opaline chert wich occasionaly replaced portions of the actual skeleton","""limestone""","","lithified","cherty/siliceous","","chert","","lithified","","","carbonate indet.","","","macrofossils","","","","","","","","body,original phosphate,replaced with silica","good","","","","","","","","","","","","taxonomic","surface (float),mechanical,field collection","LACM","","1 specimens","","","","","","marine","","actively mobile","amphibious","","carnivore","viviparous","modification of parts","","hydroxyapatite","","","","Atopotarus","Monterey","","Altamira","Burdigalian","-","Burdigalian","Burdigalian","Burdigalian","T. Downs. 1956. A new pinniped from the Micocene of southern California: With remarks on the Otariidae. Journal of Paleontology 30(1):115-131","2002-01-18 08:36:18","2008-12-02 11:51:59"
"181183","occ","4262","","17444","Merycochoerus superbus","species","48269","recombined as","Promerycochoerus superbus","","species","49398","Harrisonian","","24.8","20.43","Alroy","2002","6294","Chordata","Mammalia","Artiodactyla","Merycoidodontidae","Promerycochoerus","","","","","-102.500000","43.299999","","ACM Rosebud 4","","","US","South Dakota","Shannon","based on political unit","1","small collection","","gp_mid","-91.74","47.87","101","US","","Harrison","","","","","BgBad","15","","bottom to top","","","","","","","","","","","","","","","","","terrestrial indet.","","","","","","","","","","","body","","","","","","","","","","","","","","","","","","","","","","","terrestrial","","actively mobile","ground dwelling","","herbivore","viviparous","","","phosphatic","","","","Promerycochoerus","Harrison","","","Aquitanian","-","Aquitanian","Aquitanian, Burdigalian","Aquitanian, Burdigalian","J. Alroy. 2002. Synonymies and reidentifications of North American fossil mammals.","2002-06-03 00:35:29","2002-06-03 02:35:29"
"181196","occ","4271","","17449","Merycochoerus superbus","species","48269","recombined as","Promerycochoerus superbus","","species","49398","Harrisonian","","24.8","20.43","Alroy","2002","6294","Chordata","Mammalia","Artiodactyla","Merycoidodontidae","Promerycochoerus","","","","","-102.500000","43.299999","","AMNH Rosebud 3","","","US","South Dakota","Shannon","based on political unit","1","small collection","","gp_mid","-91.74","47.87","101","US","","Harrison","","","","","BgBad","15","","bottom to top","","","","","","","","","","","","","","","","","terrestrial indet.","","","","","","","","","","","body","","","","","","","","","","","","","","","AMNH","","","","","","","","terrestrial","","actively mobile","ground dwelling","","herbivore","viviparous","","","phosphatic","","","","Promerycochoerus","Harrison","","","Aquitanian","-","Aquitanian","Aquitanian, Burdigalian","Aquitanian, Burdigalian","J. Alroy. 2002. Synonymies and reidentifications of North American fossil mammals.","2002-06-03 00:35:29","2002-06-03 02:35:29"
"181198","occ","","","17451","Gregorymys curtus","species","46722","","Gregorymys curtus","","species","46108","Harrisonian","","24.8","20.43","Macdonald","1970","2356","Chordata","Mammalia","Rodentia","Geomyidae","Gregorymys","","","1","specimens","-102.500000","43.299999","","AMNH Rosebud 7","","","US","South Dakota","Shannon","based on political unit","1","small collection","","gp_mid","-91.74","47.87","101","US","","Harrison","","","","","BgBad","15","","bottom to top","","","","","","","","","","","","","","","","","terrestrial indet.","","","","","","","","","","","body","","","","","","","","","","","","","","","AMNH","","20 specimens","","","","","""Harrison Fm."" fauna is regarded as ""late middle"" Arikareean, pre-Harrison sensu stricto by Stevens 1991<br>NISP 20 (est.)","terrestrial","","actively mobile","fossorial","","browser","viviparous","","","phosphatic","","","","Gregorymys","Harrison","","","Aquitanian","-","Aquitanian","Aquitanian, Burdigalian","Aquitanian, Burdigalian","J. R. Macdonald. 1970. Review of the Miocene Wounded Knee faunas of southwestern South Dakota. Bulletin of the Los Angeles County Museum of Natural History, Science 8:165-82","2002-05-15 00:00:00","2002-05-15 02:00:00"
"181200","occ","30158","","17451","Leptocyon vulpinus","species","47574","","Leptocyon vulpinus","","species","49219","Harrisonian","","24.8","20.43","Tedford et al.","2009","52058","Chordata","Mammalia","Carnivora","Canidae","Leptocyon","","","1","specimens","-102.500000","43.299999","","AMNH Rosebud 7","","","US","South Dakota","Shannon","based on political unit","1","small collection","","gp_mid","-91.74","47.87","101","US","","Harrison","","","","","BgBad","15","","bottom to top","","","","","","","","","","","","","","","","","terrestrial indet.","","","","","","","","","","","body","","","","","","","","","","","","","","","AMNH","","20 specimens","","","","","""Harrison Fm."" fauna is regarded as ""late middle"" Arikareean, pre-Harrison sensu stricto by Stevens 1991<br>NISP 20 (est.)","terrestrial","","actively mobile","ground dwelling","","carnivore, omnivore","viviparous","","","phosphatic","","","","Leptocyon","Harrison","","","Aquitanian","-","Aquitanian","Aquitanian, Burdigalian","Aquitanian, Burdigalian","R. H. Tedford, X. Wang, and B. E. Taylor. 2009. Phylogenetic Systematics of the North American Fossil Caninae (Carnivora: Canidae). Bulletin of the American Museum of Natural History 325:1-218","2014-07-26 21:22:20","2014-07-26 21:22:20"
"181201","occ","4275","","17451","Paraenhydrocyon robustus","species","49825","","Paraenhydrocyon robustus","","species","48337","Harrisonian","","24.8","20.43","Alroy","2002","6294","Chordata","Mammalia","Carnivora","Canidae","Paraenhydrocyon","","","1","specimens","-102.500000","43.299999","","AMNH Rosebud 7","","","US","South Dakota","Shannon","based on political unit","1","small collection","","gp_mid","-91.74","47.87","101","US","","Harrison","","","","","BgBad","15","","bottom to top","","","","","","","","","","","","","","","","","terrestrial indet.","","","","","","","","","","","body","","","","","","","","","","","","","","","AMNH","","20 specimens","","","","","""Harrison Fm."" fauna is regarded as ""late middle"" Arikareean, pre-Harrison sensu stricto by Stevens 1991<br>NISP 20 (est.)","terrestrial","","actively mobile","ground dwelling","","carnivore, omnivore","viviparous","","","phosphatic","","","","Paraenhydrocyon","Harrison","","","Aquitanian","-","Aquitanian","Aquitanian, Burdigalian","Aquitanian, Burdigalian","J. Alroy. 2002. Synonymies and reidentifications of North American fossil mammals.","2002-06-03 00:35:29","2002-06-03 02:35:29"
"181202","occ","4276","","17451","Archaeohippus equinanus","species","44215","recombined as","Miohippus equinanus","","species","48718","Harrisonian","","24.8","20.43","Alroy","2002","6294","Chordata","Mammalia","Perissodactyla","Equidae","Miohippus","","","5","specimens","-102.500000","43.299999","","AMNH Rosebud 7","","","US","South Dakota","Shannon","based on political unit","1","small collection","","gp_mid","-91.74","47.87","101","US","","Harrison","","","","","BgBad","15","","bottom to top","","","","","","","","","","","","","","","","","terrestrial indet.","","","","","","","","","","","body","","","","","","","","","","","","","","","AMNH","","20 specimens","","","","","""Harrison Fm."" fauna is regarded as ""late middle"" Arikareean, pre-Harrison sensu stricto by Stevens 1991<br>NISP 20 (est.)","terrestrial","","actively mobile","ground dwelling","","browser","viviparous","","","phosphatic","","","","Miohippus","Harrison","","","Aquitanian","-","Aquitanian","Aquitanian, Burdigalian","Aquitanian, Burdigalian","J. Alroy. 2002. Synonymies and reidentifications of North American fossil mammals.","2002-06-03 00:35:29","2002-06-03 02:35:29"
"181204","occ","","","17451","Parahippus n. sp. pristinus","species","49848","","Parahippus pristinus","","species","49848","Harrisonian","","24.8","20.43","Macdonald","1970","2356","Chordata","Mammalia","Perissodactyla","Equidae","Parahippus","","","4","specimens","-102.500000","43.299999","","AMNH Rosebud 7","","","US","South Dakota","Shannon","based on political unit","1","small collection","","gp_mid","-91.74","47.87","101","US","","Harrison","","","","","BgBad","15","","bottom to top","","","","","","","","","","","","","","","","","terrestrial indet.","","","","","","","","","","","body","","","","","","","","","","","","","","","AMNH","","20 specimens","","","","","""Harrison Fm."" fauna is regarded as ""late middle"" Arikareean, pre-Harrison sensu stricto by Stevens 1991<br>NISP 20 (est.)","terrestrial","","actively mobile","ground dwelling","","browser","viviparous","","","phosphatic","","","","Parahippus","Harrison","","","Aquitanian","-","Aquitanian","Aquitanian, Burdigalian","Aquitanian, Burdigalian","J. R. Macdonald. 1970. Review of the Miocene Wounded Knee faunas of southwestern South Dakota. Bulletin of the Los Angeles County Museum of Natural History, Science 8:165-82","2002-05-15 00:00:00","2002-05-15 02:00:00"
"181206","occ","4277","","17451","Merycochoerus superbus","species","48269","recombined as","Promerycochoerus superbus","","species","49398","Harrisonian","","24.8","20.43","Alroy","2002","6294","Chordata","Mammalia","Artiodactyla","Merycoidodontidae","Promerycochoerus","","","1","specimens","-102.500000","43.299999","","AMNH Rosebud 7","","","US","South Dakota","Shannon","based on political unit","1","small collection","","gp_mid","-91.74","47.87","101","US","","Harrison","","","","","BgBad","15","","bottom to top","","","","","","","","","","","","","","","","","terrestrial indet.","","","","","","","","","","","body","","","","","","","","","","","","","","","AMNH","","20 specimens","","","","","""Harrison Fm."" fauna is regarded as ""late middle"" Arikareean, pre-Harrison sensu stricto by Stevens 1991<br>NISP 20 (est.)","terrestrial","","actively mobile","ground dwelling","","herbivore","viviparous","","","phosphatic","","","","Promerycochoerus","Harrison","","","Aquitanian","-","Aquitanian","Aquitanian, Burdigalian","Aquitanian, Burdigalian","J. Alroy. 2002. Synonymies and reidentifications of North American fossil mammals.","2002-06-03 00:35:29","2002-06-03 02:35:29"
"181207","occ","4278","","17451","Merycochoerus chelydra","species","48253","recombined as","Promerycochoerus chelydra","","species","48253","Harrisonian","","24.8","20.43","Alroy","2002","6294","Chordata","Mammalia","Artiodactyla","Merycoidodontidae","Promerycochoerus","","","1","specimens","-102.500000","43.299999","","AMNH Rosebud 7","","","US","South Dakota","Shannon","based on political unit","1","small collection","","gp_mid","-91.74","47.87","101","US","","Harrison","","","","","BgBad","15","","bottom to top","","","","","","","","","","","","","","","","","terrestrial indet.","","","","","","","","","","","body","","","","","","","","","","","","","","","AMNH","","20 specimens","","","","","""Harrison Fm."" fauna is regarded as ""late middle"" Arikareean, pre-Harrison sensu stricto by Stevens 1991<br>NISP 20 (est.)","terrestrial","","actively mobile","ground dwelling","","herbivore","viviparous","","","phosphatic","","","","Promerycochoerus","Harrison","","","Aquitanian","-","Aquitanian","Aquitanian, Burdigalian","Aquitanian, Burdigalian","J. Alroy. 2002. Synonymies and reidentifications of North American fossil mammals.","2002-06-03 00:35:29","2002-06-03 02:35:29"
