"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_attr","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","ref_author","ref_pubyr","reference_no","phylum","class","order","family","genus","plant_organ","plant_organ2","abund_value","abund_unit","lng","lat","occurrence_comments","collection_name","collection_subset","collection_aka","cc","state","county","latlng_basis","latlng_precision","geogscale","geogcomments","paleomodel","paleolng","paleolat","geoplate","cc","protected","formation","stratgroup","member","stratscale","zone","localsection","localbed","localbedunit","localorder","regionalsection","regionalbed","regionalbedunit","regionalorder","stratcomments","lithdescript","lithology1","lithadj1","lithification1","minor_lithology1","fossilsfrom1","lithology2","lithadj2","lithification2","minor_lithology2","fossilsfrom2","environment","tectonic_setting","geology_comments","assembl_comps","articulated_parts","associated_parts","common_body_parts","rare_body_parts","feed_pred_traces","artifacts","component_comments","pres_mode","preservation_quality","spatial_resolution","temporal_resolution","lagerstatten","concentration","orientation","abund_in_sediment","sorting","fragmentation","bioerosion","encrustation","preservation_comments","collection_type","collection_methods","museum","collection_coverage","collection_size","rock_censused","collectors","collection_dates","collection_comments","taxonomy_comments","taxon_environment","environment_basis","motility","life_habit","vision","diet","reproduction","ontogeny","ecospace_comments","composition","architecture","thickness","reinforcement","genus","formation","stratgroup","member","time_bins","time_contain","time_major","time_buffer","time_overlap","primary_reference","created","modified"
"148354","occ","","","13093","ex gr. Desmostylus n. sp. hesperus","species","71834","","Desmostylus hesperus","","species","71834","Serravallian","Tortonian","13.82","7.246","Marsh","1888","4363","Chordata","Mammalia","Desmostyloidea","Desmostylidae","Desmostylus","","","","","-121.922775","37.556389","","Mission San Jose, east","","","US","California","Alameda","based on political unit","seconds","local area","East of Mision San Jose","gp_mid","-116.75","39.97","130","US","","Briones","San Pablo","","","","","","","","","","","","location, age, and formation data from Domning (1996).\r\nAGE: edited following EPICC stratigraphic revision [6/13/2020].","","not reported","","","","","","","","","","marine indet.","","","macrofossils","","","","","","","","body","","","","","","","","","","","","","taxonomic","field collection","YPM","some macrofossils","","","","","","","coastal","","actively mobile","amphibious","","herbivore","viviparous","modification of parts","","hydroxyapatite","","","","Desmostylus","Briones","San Pablo","","Tortonian","-","Tortonian","Tortonian","Tortonian","O. C. Marsh. 1888. Notice of a new fossil sirenian, from California. American Journal of Science 25(8):94-96","2002-01-21 07:54:21","2002-01-21 09:54:21"
"148358","occ","","","13098","n. gen. Mixocetus n. sp. elysius","species","64432","","Mixocetus elysius","","species","64432","Tortonian","","11.62","7.246","Kellogg","1934","10152","Chordata","Mammalia","Cetacea","Tranatocetidae","Mixocetus","","","","","-118.199448","34.083611","","Lincoln Heights","","","US","California","Los Angeles","estimated from map","seconds","outcrop","","gp_mid","-114.35","35.74","105","US","","Modelo","","Elysian Park Sandstone","member","","","","","","","","","","It is not crystal clear from Kelogg (1934) what age this fossil is from. He states that the Elysian Park sandstone ""is to be correlated with the  Monterey Formation [...] above the top of the Valvulineria californica  zone"". There is no discussion of the Elysian Park sandstone in the geological literature, but Bussino & Barnes, 1984 give it an age of 10-11 Mya.","","sandstone","","","","Y","","","","","","coastal indet.","","coastal, sandstone","macrofossils","","","","","","","","body,original phosphate","","","","","","","","","","","","","general faunal/floral","selective quarrying,field collection","","","","","","","","","marine","","actively mobile","aquatic","","carnivore, suspension feeder","viviparous","modification of parts","","hydroxyapatite","","","","Mixocetus","Modelo","","Elysian Park Sandstone","Tortonian","Tortonian","Tortonian","Tortonian","Tortonian","R. Kellogg. 1934. A new cetothere from the Modelo Formation at Los Angeles, California. Carnegie Institution of Washington 447:83-104","2002-01-21 08:43:24","2009-01-20 10:50:01"
"184088","occ","","","18030","Sphenophalos n. sp. middleswarti","species","51743","","Sphenophalos middleswarti","","species","51743","Clarendonian","Pliocene","13.6","2.588","Barbour and Schultz","1941","1010","Chordata","Mammalia","Artiodactyla","Antilocapridae","Sphenophalos","","","","","-103.099998","41.700001","","8 miles NW of Angora","","","US","Nebraska","Morrill","based on political unit","1","","C. W. Nichols farm, 8 mi NW of Angora","gp_mid","","","coordinates not computable using this model","US","","","","","","","","","","","","","","","","","conglomerate","","","","","","","","","","fluvial indet.","","","macrofossils","","","","","","","","body","","","","","","","","","","","","","taxonomic","surface (in situ),field collection","UNSM","some genera","1 specimens","","S. R. Sweet, T. C. Middleswart, and W. F. Chaloupka","1937","","","terrestrial","","actively mobile","ground dwelling","","browser, grazer","viviparous","","","phosphatic","","","","Sphenophalos","","","","-","-","-","Tortonian","Tortonian, Messinian","E. H. Barbour and C. B. Schultz. 1941. A New Species of Sphenophalos from the Upper Ogallala of Nebraska. Bulletin of the Nebraska State Museum 2(6):59-62","2002-05-15 00:00:00","2002-05-15 02:00:00"
"184129","occ","","","18033","Spermophilus n. sp. matthewi","species","51706","","Spermophilus matthewi","","species","45146","Hemphillian","","10.3","4.9","Skinner et al.","1977","3175","Chordata","Mammalia","Rodentia","Sciuridae","Spermophilus","","","","","-103.800003","42.400002","","Aphelops Draw Quarries","","","US","Nebraska","Sioux","based on political unit","1","","Aphelops Draw","gp_mid","-100.53","44.34","101","US","","Snake Creek","","Johnson","","","Snake","8","","bottom to top","","","","","","","","","","","","","","","","","terrestrial indet.","","","","","","","","","","","body","","","","","","","","","","","","","biostratigraphic","","","","","","","","","""Aelurodon taxoides"" Wang et al. 1999: supposedly reworked specimen<br><br>""Leptocyon cf. vafer"" of Cook and Macdonald 1962 seems  extremely unlikely as there are no other Hemphillian  or even Clarendonian records of this genus; however,  Skinner et al. state that the type is from the  Johnson Mbr., as is the type of ""Tomarctus propter""","terrestrial","","actively mobile","semifossorial","","granivore, frugivore","viviparous","","","phosphatic","","","","Spermophilus","Snake Creek","","Johnson","Tortonian","-","Tortonian","Tortonian, Messinian","Tortonian, Messinian","M. F. Skinner, S. M. Skinner, and R. J. Gooris. 1977. Stratigraphy and biostratigraphy of late Cenozoic deposits in central Sioux County, western Nebraska. Bulletin of the American Museum of Natural History 158(5):263-370","2002-05-15 00:00:00","2002-05-15 02:00:00"
"184131","occ","","","18033","Megalonyx curvidens","species","48017","","Megalonyx curvidens","","species","48017","Hemphillian","","10.3","4.9","Skinner et al.","1977","3175","Chordata","Eufolivora","NO_ORDER_SPECIFIED","Megalonychidae","Megalonyx","","","","","-103.800003","42.400002","","Aphelops Draw Quarries","","","US","Nebraska","Sioux","based on political unit","1","","Aphelops Draw","gp_mid","-100.53","44.34","101","US","","Snake Creek","","Johnson","","","Snake","8","","bottom to top","","","","","","","","","","","","","","","","","terrestrial indet.","","","","","","","","","","","body","","","","","","","","","","","","","biostratigraphic","","","","","","","","","""Aelurodon taxoides"" Wang et al. 1999: supposedly reworked specimen<br><br>""Leptocyon cf. vafer"" of Cook and Macdonald 1962 seems  extremely unlikely as there are no other Hemphillian  or even Clarendonian records of this genus; however,  Skinner et al. state that the type is from the  Johnson Mbr., as is the type of ""Tomarctus propter""","terrestrial","","actively mobile","ground dwelling","","herbivore","viviparous","","","phosphatic","","","","Megalonyx","Snake Creek","","Johnson","Tortonian","-","Tortonian","Tortonian, Messinian","Tortonian, Messinian","M. F. Skinner, S. M. Skinner, and R. J. Gooris. 1977. Stratigraphy and biostratigraphy of late Cenozoic deposits in central Sioux County, western Nebraska. Bulletin of the American Museum of Natural History 158(5):263-370","2002-05-15 00:00:00","2002-05-15 02:00:00"
"184132","occ","","","18033","Epicyon saevus","species","46210","","Epicyon saevus","","species","44881","Hemphillian","","10.3","4.9","Wang et al.","1999","3558","Chordata","Mammalia","Carnivora","Canidae","Epicyon","","","","","-103.800003","42.400002","Aphelops Quarry; also ""Aphelops Draw, upper sand channel""","Aphelops Draw Quarries","","","US","Nebraska","Sioux","based on political unit","1","","Aphelops Draw","gp_mid","-100.53","44.34","101","US","","Snake Creek","","Johnson","","","Snake","8","","bottom to top","","","","","","","","","","","","","","","","","terrestrial indet.","","","","","","","","","","","body","","","","","","","","","","","","","biostratigraphic","","","","","","","","","""Aelurodon taxoides"" Wang et al. 1999: supposedly reworked specimen<br><br>""Leptocyon cf. vafer"" of Cook and Macdonald 1962 seems  extremely unlikely as there are no other Hemphillian  or even Clarendonian records of this genus; however,  Skinner et al. state that the type is from the  Johnson Mbr., as is the type of ""Tomarctus propter""","terrestrial","","actively mobile","ground dwelling","","carnivore, omnivore","viviparous","","","phosphatic","","","","Epicyon","Snake Creek","","Johnson","Tortonian","-","Tortonian","Tortonian, Messinian","Tortonian, Messinian","X. Wang, R. H. Tedford, and B. E. Taylor. 1999. Phylogenetic systematics of the Borophaginae (Carnivora: Canidae). Bulletin of the American Museum of Natural History 243:1-392","2002-05-15 00:00:00","2002-05-15 02:00:00"
"184133","occ","5340","","18033","Epicyon haydeni","species","46206","","Epicyon haydeni","","species","44847","Hemphillian","","10.3","4.9","Alroy","2002","6294","Chordata","Mammalia","Carnivora","Canidae","Epicyon","","","","","-103.800003","42.400002","","Aphelops Draw Quarries","","","US","Nebraska","Sioux","based on political unit","1","","Aphelops Draw","gp_mid","-100.53","44.34","101","US","","Snake Creek","","Johnson","","","Snake","8","","bottom to top","","","","","","","","","","","","","","","","","terrestrial indet.","","","","","","","","","","","body","","","","","","","","","","","","","biostratigraphic","","","","","","","","","""Aelurodon taxoides"" Wang et al. 1999: supposedly reworked specimen<br><br>""Leptocyon cf. vafer"" of Cook and Macdonald 1962 seems  extremely unlikely as there are no other Hemphillian  or even Clarendonian records of this genus; however,  Skinner et al. state that the type is from the  Johnson Mbr., as is the type of ""Tomarctus propter""","terrestrial","","actively mobile","ground dwelling","","carnivore, omnivore","viviparous","","","phosphatic","","","","Epicyon","Snake Creek","","Johnson","Tortonian","-","Tortonian","Tortonian, Messinian","Tortonian, Messinian","J. Alroy. 2002. Synonymies and reidentifications of North American fossil mammals.","2002-06-03 00:35:30","2002-06-03 02:35:30"
"184134","occ","","","18033","Borophagus secundus","species","44603","","Borophagus secundus","","species","44603","Hemphillian","","10.3","4.9","Wang et al.","1999","3558","Chordata","Mammalia","Carnivora","Canidae","Borophagus","","","","","-103.800003","42.400002","","Aphelops Draw Quarries","","","US","Nebraska","Sioux","based on political unit","1","","Aphelops Draw","gp_mid","-100.53","44.34","101","US","","Snake Creek","","Johnson","","","Snake","8","","bottom to top","","","","","","","","","","","","","","","","","terrestrial indet.","","","","","","","","","","","body","","","","","","","","","","","","","biostratigraphic","","","","","","","","","""Aelurodon taxoides"" Wang et al. 1999: supposedly reworked specimen<br><br>""Leptocyon cf. vafer"" of Cook and Macdonald 1962 seems  extremely unlikely as there are no other Hemphillian  or even Clarendonian records of this genus; however,  Skinner et al. state that the type is from the  Johnson Mbr., as is the type of ""Tomarctus propter""","terrestrial","","actively mobile","","","carnivore","viviparous","","","phosphatic","","","","Borophagus","Snake Creek","","Johnson","Tortonian","-","Tortonian","Tortonian, Messinian","Tortonian, Messinian","X. Wang, R. H. Tedford, and B. E. Taylor. 1999. Phylogenetic systematics of the Borophaginae (Carnivora: Canidae). Bulletin of the American Museum of Natural History 243:1-392","2002-05-15 00:00:00","2002-05-15 02:00:00"
"184136","occ","","","18033","Machairodus coloradensis","species","47842","recombined as","Amphimachairodus coloradensis","","species","47842","Hemphillian","","10.3","4.9","Skinner et al.","1977","3175","Chordata","Mammalia","Carnivora","Felidae","Amphimachairodus","","","","","-103.800003","42.400002","","Aphelops Draw Quarries","","","US","Nebraska","Sioux","based on political unit","1","","Aphelops Draw","gp_mid","-100.53","44.34","101","US","","Snake Creek","","Johnson","","","Snake","8","","bottom to top","","","","","","","","","","","","","","","","","terrestrial indet.","","","","","","","","","","","body","","","","","","","","","","","","","biostratigraphic","","","","","","","","","""Aelurodon taxoides"" Wang et al. 1999: supposedly reworked specimen<br><br>""Leptocyon cf. vafer"" of Cook and Macdonald 1962 seems  extremely unlikely as there are no other Hemphillian  or even Clarendonian records of this genus; however,  Skinner et al. state that the type is from the  Johnson Mbr., as is the type of ""Tomarctus propter""","terrestrial","","actively mobile","scansorial","","carnivore","viviparous","","","phosphatic","","","","Amphimachairodus","Snake Creek","","Johnson","Tortonian","-","Tortonian","Tortonian, Messinian","Tortonian, Messinian","M. F. Skinner, S. M. Skinner, and R. J. Gooris. 1977. Stratigraphy and biostratigraphy of late Cenozoic deposits in central Sioux County, western Nebraska. Bulletin of the American Museum of Natural History 158(5):263-370","2002-05-15 00:00:00","2002-05-15 02:00:00"
"184137","occ","5341","","18033","Mammut matthewi","species","47868","","Mammut matthewi","","species","47937","Hemphillian","","10.3","4.9","Alroy","2002","6294","Chordata","Mammalia","Proboscidea","Mammutidae","Mammut","","","","","-103.800003","42.400002","","Aphelops Draw Quarries","","","US","Nebraska","Sioux","based on political unit","1","","Aphelops Draw","gp_mid","-100.53","44.34","101","US","","Snake Creek","","Johnson","","","Snake","8","","bottom to top","","","","","","","","","","","","","","","","","terrestrial indet.","","","","","","","","","","","body","","","","","","","","","","","","","biostratigraphic","","","","","","","","","""Aelurodon taxoides"" Wang et al. 1999: supposedly reworked specimen<br><br>""Leptocyon cf. vafer"" of Cook and Macdonald 1962 seems  extremely unlikely as there are no other Hemphillian  or even Clarendonian records of this genus; however,  Skinner et al. state that the type is from the  Johnson Mbr., as is the type of ""Tomarctus propter""","terrestrial","","actively mobile","ground dwelling","","browser","viviparous","","","phosphatic","","","","Mammut","Snake Creek","","Johnson","Tortonian","-","Tortonian","Tortonian, Messinian","Tortonian, Messinian","J. Alroy. 2002. Synonymies and reidentifications of North American fossil mammals.","2002-06-03 00:35:30","2002-06-03 02:35:30"
