"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_attr","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","ref_author","ref_pubyr","reference_no","phylum","class","order","family","genus","plant_organ","plant_organ2","abund_value","abund_unit","lng","lat","occurrence_comments","collection_name","collection_subset","collection_aka","cc","state","county","latlng_basis","latlng_precision","geogscale","geogcomments","paleomodel","paleolng","paleolat","geoplate","cc","protected","formation","stratgroup","member","stratscale","zone","localsection","localbed","localbedunit","localorder","regionalsection","regionalbed","regionalbedunit","regionalorder","stratcomments","lithdescript","lithology1","lithadj1","lithification1","minor_lithology1","fossilsfrom1","lithology2","lithadj2","lithification2","minor_lithology2","fossilsfrom2","environment","tectonic_setting","geology_comments","assembl_comps","articulated_parts","associated_parts","common_body_parts","rare_body_parts","feed_pred_traces","artifacts","component_comments","pres_mode","preservation_quality","spatial_resolution","temporal_resolution","lagerstatten","concentration","orientation","abund_in_sediment","sorting","fragmentation","bioerosion","encrustation","preservation_comments","collection_type","collection_methods","museum","collection_coverage","collection_size","rock_censused","collectors","collection_dates","collection_comments","taxonomy_comments","taxon_environment","environment_basis","motility","life_habit","vision","diet","reproduction","ontogeny","ecospace_comments","composition","architecture","thickness","reinforcement","genus","formation","stratgroup","member","time_bins","time_contain","time_major","time_buffer","time_overlap","primary_reference","created","modified"
"149438","occ","","","13192","Allodesmus kernensis","species","72005","","Allodesmus kernensis","","species","72005","Langhian","","15.97","13.82","Barnes","1972","4384","Chordata","Mammalia","Carnivora","Desmatophocidae","Allodesmus","","","","","-118.985001","35.386112","","CAS locality 275","","","US","California","Kern","based on political unit","seconds","outcrop","Kern River, Miocene, 1 mi west of Kern River, 4 miles above oil city, Sec. 28, T 28 S, R 28 E ","gp_mid","-111.56","38.50","130","US","","Round Mountain","","","","","","","","","","","","","Age after Scheirer and Magoon 2007","","siltstone","","","","","","","","","","marine indet.","","","macrofossils","","","","","","","","body","","","","","","","","","","","","","taxonomic","field collection","","","","","","","","","marine","","actively mobile","amphibious","","carnivore","viviparous","modification of parts","","hydroxyapatite","","","","Allodesmus","Round Mountain","","","Langhian","Langhian","Langhian","Langhian","Langhian","L. G. Barnes. 1972. Miocene Desmatophocinae (Mammalia: Carnivora) from California. University of California Publications in Geological Sciences 89:1-76","2002-01-28 08:50:56","2002-01-28 10:50:56"
"150836","occ","","","13408","Thinocetus arthritus","species","53147","","Thinocetus arthritus","","species","53147","Serravallian","","13.82","11.62","Kellogg","1969","6034","Chordata","Mammalia","Cetacea","NO_FAMILY_SPECIFIED","Thinocetus","","","1","specimens","-76.471107","38.463890","","Calvert Beach Run, south of, Zone 19","","","US","Maryland","Calvert","based on nearby landmark","seconds","outcrop","1.9 miles south of Calvert Beach Run","gp_mid","-70.39","39.98","109","US","","Choptank","Chesapeake","Boston Cliffs","","","","","","","Shattuck","19","","bottom to top","in shell layer of sandy zone 19, about 14 feet above beach level","sandy layer","sandstone","","","sandy","Y","","","","","","offshore shelf","","The Choptank Formation exhibits an offshore middle neritic environment. It is shallow and open-shelf. ","macrofossils","","","","","","","","body","good","","","","","","","","","","","","taxonomic","surface (in situ),field collection","","some macrofossils","","","","","","","marine","","actively mobile","aquatic","","carnivore, suspension feeder","viviparous","modification of parts","","hydroxyapatite","","","","Thinocetus","Choptank","Chesapeake","Boston Cliffs","Serravallian","Serravallian","Serravallian","Serravallian","Serravallian","R Kellogg. 1969. Cetothere skeletons from the Miocene Choptank Formation of Maryland and Virginia. Bulletin - U.S. National Museum 294:1-40","2002-03-14 13:47:26","2011-02-14 11:05:39"
"150841","occ","","","13407","n. gen. Thinocetus n. sp. arthritus","species","53147","","Thinocetus arthritus","","species","53147","Serravallian","","13.82","11.62","Kellogg","1969","6034","Chordata","Mammalia","Cetacea","NO_FAMILY_SPECIFIED","Thinocetus","","","","","-76.766670","38.162224","","Mud Cliffs, East of","","","US","Virginia","Westmoreland","based on nearby landmark","seconds","outcrop","low cliff east of Mud Cliffs on south shore of Potomac River (7/10) mile west of Hulover Point on Haulover Inlet), 180 feet west of Md.-Va. Boundary Monument 24","gp_mid","-70.72","39.70","109","US","","Choptank","Chesapeake","","","","","","","","Shattuck","17","","bottom to top","three feet ten inches below zone 17 shell bed\r\n\r\nThe Choptank Formation as a whole falls into dinoflagellate zone DN6 [94], which in turn partially correlates with foraminiferal zones N10–11 (14.2–13.4 Ma [20]) and nannoplankton zone NN6 (13.5–11.9 Ma [20]) [94]. The overlap of these zones defines a narrow age range of 13.5–13.4 Ma, which fits well with strontium dates of ca. 13 Ma [48, 49], and the 13.9–13.8 Ma expansion of the East Antarctic Ice Sheet interpreted to mark the transition between the Calvert and Choptank formations [49]. (Marx & Fordyce, 2015)\r\n","greenish sandy silt","siltstone","green","","sandy","Y","","","","","","offshore shelf","","The Choptank Formation exhibits an offshore middle neritic environment. It is shallow and open-shelf. ","macrofossils","","","","","","","","body","good","","","","","","","","","","","","taxonomic","surface (float),field collection","","some macrofossils","","","","","","","marine","","actively mobile","aquatic","","carnivore, suspension feeder","viviparous","modification of parts","","hydroxyapatite","","","","Thinocetus","Choptank","Chesapeake","","Serravallian","Serravallian","Serravallian","Serravallian","Serravallian","R Kellogg. 1969. Cetothere skeletons from the Miocene Choptank Formation of Maryland and Virginia. Bulletin - U.S. National Museum 294:1-40","2002-03-14 13:51:37","2002-03-14 15:51:37"
"150846","occ","","","13408","n. gen. Halicetus n. sp. ignotus","species","53149","","Halicetus ignotus","","species","53149","Serravallian","","13.82","11.62","Kellogg","1969","6034","Chordata","Mammalia","Cetacea","NO_FAMILY_SPECIFIED","Halicetus","","","","","-76.471107","38.463890","","Calvert Beach Run, south of, Zone 19","","","US","Maryland","Calvert","based on nearby landmark","seconds","outcrop","1.9 miles south of Calvert Beach Run","gp_mid","-70.39","39.98","109","US","","Choptank","Chesapeake","Boston Cliffs","","","","","","","Shattuck","19","","bottom to top","in shell layer of sandy zone 19, about 14 feet above beach level","sandy layer","sandstone","","","sandy","Y","","","","","","offshore shelf","","The Choptank Formation exhibits an offshore middle neritic environment. It is shallow and open-shelf. ","macrofossils","","","","","","","","body","good","","","","","","","","","","","","taxonomic","surface (in situ),field collection","","some macrofossils","","","","","","","marine","","actively mobile","aquatic","","carnivore, suspension feeder","viviparous","modification of parts","","hydroxyapatite","","","","Halicetus","Choptank","Chesapeake","Boston Cliffs","Serravallian","Serravallian","Serravallian","Serravallian","Serravallian","R Kellogg. 1969. Cetothere skeletons from the Miocene Choptank Formation of Maryland and Virginia. Bulletin - U.S. National Museum 294:1-40","2002-03-14 13:58:32","2011-02-14 11:05:39"
"183282","occ","","","17880","Cynarctoides acridens","species","45433","","Cynarctoides acridens","","species","45441","Early Barstovian","","15.97","13.6","Wang et al.","1999","3558","Chordata","Mammalia","Carnivora","Canidae","Cynarctoides","","","","","-103.800003","42.400002","","Boulder Quarry","","","US","Nebraska","Sioux","based on political unit","1","small collection","","gp_mid","-97.28","45.82","101","US","","Olcott","","","","","","","","","","","","","","","not reported","","","","","","","","","","terrestrial indet.","","","macrofossils,mesofossils","","","","","","","","body","","","","","","","","","","","","","taxonomic","","","some genera","","","","","","subcycle unknown: Skinner et al. 1977","terrestrial","","actively mobile","ground dwelling","","carnivore, omnivore","viviparous","","","phosphatic","","","","Cynarctoides","Olcott","","","Langhian","-","Langhian","Langhian, Serravallian","Langhian, Serravallian","X. Wang, R. H. Tedford, and B. E. Taylor. 1999. Phylogenetic systematics of the Borophaginae (Carnivora: Canidae). Bulletin of the American Museum of Natural History 243:1-392","2002-05-15 00:00:00","2002-05-15 02:00:00"
"183283","occ","","","17880","Paracynarctus sinclairi","species","49803","","Paracynarctus sinclairi","","species","49803","Early Barstovian","","15.97","13.6","Wang et al.","1999","3558","Chordata","Mammalia","Carnivora","Canidae","Paracynarctus","","","","","-103.800003","42.400002","","Boulder Quarry","","","US","Nebraska","Sioux","based on political unit","1","small collection","","gp_mid","-97.28","45.82","101","US","","Olcott","","","","","","","","","","","","","","","not reported","","","","","","","","","","terrestrial indet.","","","macrofossils,mesofossils","","","","","","","","body","","","","","","","","","","","","","taxonomic","","","some genera","","","","","","subcycle unknown: Skinner et al. 1977","terrestrial","","actively mobile","ground dwelling","","carnivore, omnivore","viviparous","","","phosphatic","","","","Paracynarctus","Olcott","","","Langhian","-","Langhian","Langhian, Serravallian","Langhian, Serravallian","X. Wang, R. H. Tedford, and B. E. Taylor. 1999. Phylogenetic systematics of the Borophaginae (Carnivora: Canidae). Bulletin of the American Museum of Natural History 243:1-392","2002-05-15 00:00:00","2002-05-15 02:00:00"
"183284","occ","","","17880","Tomarctus hippophaga","species","52381","","Tomarctus hippophaga","","species","52176","Early Barstovian","","15.97","13.6","Wang et al.","1999","3558","Chordata","Mammalia","Carnivora","Canidae","Tomarctus","","","","","-103.800003","42.400002","","Boulder Quarry","","","US","Nebraska","Sioux","based on political unit","1","small collection","","gp_mid","-97.28","45.82","101","US","","Olcott","","","","","","","","","","","","","","","not reported","","","","","","","","","","terrestrial indet.","","","macrofossils,mesofossils","","","","","","","","body","","","","","","","","","","","","","taxonomic","","","some genera","","","","","","subcycle unknown: Skinner et al. 1977","terrestrial","","actively mobile","ground dwelling","","carnivore, omnivore","viviparous","","","phosphatic","","","","Tomarctus","Olcott","","","Langhian","-","Langhian","Langhian, Serravallian","Langhian, Serravallian","X. Wang, R. H. Tedford, and B. E. Taylor. 1999. Phylogenetic systematics of the Borophaginae (Carnivora: Canidae). Bulletin of the American Museum of Natural History 243:1-392","2002-05-15 00:00:00","2002-05-15 02:00:00"
"183285","occ","","","17880","Tomarctus brevirostris","species","52374","","Tomarctus brevirostris","","species","52374","Early Barstovian","","15.97","13.6","Wang et al.","1999","3558","Chordata","Mammalia","Carnivora","Canidae","Tomarctus","","","","","-103.800003","42.400002","","Boulder Quarry","","","US","Nebraska","Sioux","based on political unit","1","small collection","","gp_mid","-97.28","45.82","101","US","","Olcott","","","","","","","","","","","","","","","not reported","","","","","","","","","","terrestrial indet.","","","macrofossils,mesofossils","","","","","","","","body","","","","","","","","","","","","","taxonomic","","","some genera","","","","","","subcycle unknown: Skinner et al. 1977","terrestrial","","actively mobile","ground dwelling","","carnivore, omnivore","viviparous","","","phosphatic","","","","Tomarctus","Olcott","","","Langhian","-","Langhian","Langhian, Serravallian","Langhian, Serravallian","X. Wang, R. H. Tedford, and B. E. Taylor. 1999. Phylogenetic systematics of the Borophaginae (Carnivora: Canidae). Bulletin of the American Museum of Natural History 243:1-392","2002-05-15 00:00:00","2002-05-15 02:00:00"
"183287","occ","","","17880","Amphicyon ingens","species","43993","","Amphicyon ingens","","species","43993","Early Barstovian","","15.97","13.6","Schiebout","1997","3030","Chordata","Mammalia","Carnivora","Amphicyonidae","Amphicyon","","","","","-103.800003","42.400002","","Boulder Quarry","","","US","Nebraska","Sioux","based on political unit","1","small collection","","gp_mid","-97.28","45.82","101","US","","Olcott","","","","","","","","","","","","","","","not reported","","","","","","","","","","terrestrial indet.","","","macrofossils,mesofossils","","","","","","","","body","","","","","","","","","","","","","taxonomic","","","some genera","","","","","","subcycle unknown: Skinner et al. 1977","terrestrial","","actively mobile","ground dwelling","","carnivore","viviparous","","","phosphatic","","","","Amphicyon","Olcott","","","Langhian","-","Langhian","Langhian, Serravallian","Langhian, Serravallian","J. A. Schiebout. 1997. Paleofaunal survey, collecting, processing, and documentation at two locations on Fort Polk, Louisiana. U.S. Army Corps of Engineers, Fort Worth District; Contract No. DACW63-90-D-0008, Delivery Order 13 [No sponsoring agency report number given]","2002-05-15 00:00:00","2002-05-15 02:00:00"
"183381","occ","","","17901","Pseudoparablastomeryx scotti","species","51208","","Pseudoparablastomeryx scotti","","species","49778","Early Barstovian","","15.97","13.6","Taylor and Webb","1976","3370","Chordata","Mammalia","Artiodactyla","Leptomerycidae","Pseudoparablastomeryx","","","","","-103.800003","42.400002","","East Jenkins Quarry","","","US","Nebraska","Sioux","based on political unit","1","small collection","","gp_mid","-97.28","45.82","101","US","","Olcott","","subcycle 2","","","","","","","","","","","","","not reported","","","","","","","","","","terrestrial indet.","","","macrofossils,mesofossils","","","","","","","","body","","","","","","","","","","","","","taxonomic","","","some genera","","","","","","","terrestrial","","actively mobile","ground dwelling","","frugivore","viviparous","","","phosphatic","","","","Pseudoparablastomeryx","Olcott","","subcycle 2","Langhian","-","Langhian","Langhian, Serravallian","Langhian, Serravallian","B. E. Taylor and S. D. Webb. 1976. Miocene Leptomerycidae (Artiodactyla, Ruminantia) and their relationships. American Museum Novitates 2596","2002-05-15 00:00:00","2002-05-15 02:00:00"
